,Title,Label
5492,Postal Financial Services (PFS) Commercial Department Head,Finance Specialist
5493,Attorney Advisor,Lawyer
5494,Audit Assistant,Auditor
5495,Occupational Safety and Health Expert,Raw
5497,Auditor,Auditor
5501,Senior QA Engineer,Raw
5502,International Sales Manager,Sales Manager
5503,Loan Agent,Loan Specialist
5504,Head of Medical Inventory Department,Medical Representative
5505,Cook,Health Manager
5506,Head of Marketing Department,Marketing Specialist
5507,HR Manager,HR Specialist
5509,Postal  Financial Services (PFS) Business Unit Director,Finance Specialist
5510,Financial Market Specialist (FMS),Marketing Specialist
5512,Sales & Marketing Manager,Sales Manager
5513,Assistant of  Logistics & Marketing Department,Assistant
5514,Capacity Building Assistant,Software Developer
5516,3d Programmer,Programmer
5517,Visualizers Team Leader,Architect
5518,Production Manager,Brand Manager
5520,Software Architect,Architect
5521,Business Development and International Relations Manager,Raw
5522,HR Specialist,HR Specialist
5523,Specialist in Methodology Division,Specialist
5524,Risk Management Specialist,Credit Officer
5528,Customer Relations Manager,Office Manager
5530,Director,Director
5531,Head of Commercial Department,Department Head
5532,Refrigeration Service Engineer,Raw
5535,C#.NET Developer,C/ C++ Developer
5539,MS SQL Database Developer,Unix Administrator
5540,IT Operations Division Head,Operations Manager
5541,IT Security and Fraud Detection Division Head,Finance Specialist
5542,IT Applications Division Head,Raw
5543,IT Network Development Subdivision Head,Software Developer
5544,IT Department Head,Assistant
5547,Program Development Manager,Project Manager/ Assistant
5548,Donor Care and Communications Coordinator,Director
5550,Executive Director,Director
5551,Construction Manager,Project Manager/ Assistant
5552,Tour Manager,Raw
5555,Advertising Manager,Manager
5557,Recruitment Coordinator,Software Developer
5558,Marketing & Support Engineer in Telecommunication,Support Engineer
5565,System Architectural Designer,Systems Administrator
5567,Technical and Administrative Intern,Raw
5568,Grants Manager Assistant-Intern,Project Manager/ Assistant
5569,Head of Operations Department,Operations Manager
5570,Senior Software Developer (VOIP),Raw
5571,User Interface/ Web/ Graphic Designer,Software Developer
5573,Chief Accountant,Accountant
5574,Project Manager,Project Manager/ Assistant
5576,Armenian Speaking Secretarial Assistants (Grade B1/B2),Lawyer
5579,Software Developer C++/C#,Software Developer
5581,Software QA Engineer,Engineer
5582,Junior Architect,Architect
5584,Chief Accountant,Accountant
5585,Press Officer,PR Specialist
5586,"Store Director Trainee, Yerevan",Brand Manager
5587,"Store Director Trainee,  Gyumri",Brand Manager
5590,Sales Manager,Sales Manager
5591,Service Manager,Manager
5592,Administrative Assistant,Assistant
5593,Brand Manager,Brand Manager
5594,English Language Instructor,Raw
5595,Finance Officer/ Cashier,Finance Specialist
5597,Administrative Assistant,Assistant
5598,Senior Software Engineer,Engineer
5599,Radio Engineer,Network Engineer
5601,Project Assistant,Assistant
5602,"Operations Manager, NO-3",Operations Manager
5603,Technical Project Manager,Project Manager/ Assistant
5605,Manager of Sales & Marketing Department,Sales Manager
5606,Visual Basic Programmer (VBA Programmer),Programmer
5610,Monitoring and Evaluation Trainee,Raw
5613,Digital Design Engineer,Engineer
5614,Analog Design Engineer,Engineer
5615,Merchandiser,Raw
5616,Intern-Assistant to Administrative Services Manager,Manager
5617,Waiter/ Waitress,Receptionist
5620,Chief Accountant,Accountant
5621,Financial Director,Finance Specialist
5622,Corporate Finance Specialist,Finance Specialist
5625,Lawyer,Lawyer
5626,Project Manager,Raw
5628,Chief of Security,Finance Specialist
5629,Manager,Raw
5631,C# .Net/ Sharepoint Developer,Software Developer
5633,HR Assistant,HR Specialist
5634,Pricing and Tariffs Coordinator,Marketing Specialist
5635,Specialist at Customer Transactions Formalization Division,Sales Manager
5637,Distribution Channels Officer,Software Developer
5638,Executive Director,Director
5641,MS SQL Developer,Unix Administrator
5642,Sales Consultant,Sales Manager
5643,National Consultant on Energy and Energy Sector Regulatory,Raw
5644,IT Security Manager,Finance Specialist
5645,Receptionist/ Administrative Assistant,Receptionist
5646,Design Engineer,Engineer
5647,"Project Assistant of ""Increasing Adherence TB Patients to",Assistant
5652,Program Coordinator,Project Manager/ Assistant
5653,Graphic Designer,Graphic Designer
5655,Sales and Marketing Director,Marketing Specialist
5657,Sales and Marketing Manager,Marketing Specialist
5659,Financier,Finance Specialist
5661,Project Team Leader,Project Manager/ Assistant
5663,"Team Leader/Expert on Elaboration of the Constraints & Gaps, &",Raw
5667,Service Engineer,Raw
5669,Manager Assistant,Assistant
5673,Backhaul and Transmission Manager,Software Developer
5674,Radio Access Network Engineer,Software Developer
5675,System Administrator,Software Developer
5676,Radio Access Network Manager,Software Developer
5677,IT/ ISP Manager,Project Manager/ Assistant
5679,Mechanical Engineer,Engineer
5680,Senior Specialist of Strategy Development Division,Raw
5681,Purchasing Agent,Sales Agent
5682,National Expert on Modeling of Financial and Economical,Raw
5684,Administrative Assistant,Finance Specialist
5685,Product Development Agent,Sales Agent
5686,Beauty Care Brand Manager,Medical Representative
5687,Marketing Specialist,Marketing Specialist
5691,HR Manager,HR Specialist
5692,Heating Systems Sales Manager,Sales Manager
5693,Graphic/ WEB Designer,Graphic Designer
5698,Manager of Marketing Department,Marketing Specialist
5699,"Staffing Officer, Human Resources and Organizational Development",Raw
5700,Technical Advisor/ Technical Manager,Technical Support
5701,Senior Testing Engineer/ Senior Automated Testing Engineer,Test Engineer
5703,Payroll Specialist/ Accountant,Accountant
5704,Monitoring and Evaluation Specialist,Consultant
5705,Farmer Market Access Facilitator,Health Manager
5707,Senior Technical Project Manager,Project Manager/ Assistant
5708,Pre-seller,Teller
5709,Customs Specialist,Customs Specialist
5710,WMS IT Project Manager,Project Manager/ Assistant
5711,"Senior Software Developer C#, .Net",.NET Developer
5712,Customer Services Clerk/ Teller,Customs Specialist
5713,Nutrition and Immunization Officer,Raw
5714,Lending Officer,Loan Specialist
5715,Transport Supervisor,Transport Manager
5716,Quality Control Manager,Controller
5719,Administration Services Department Manager,Department Head
5720,Transport Manager,Transport Manager
5721,Business Inteligence Analyst Data Mining,Software Developer
5725,Marketing Specialist,Marketing Specialist
5726,Senior Researcher,Raw
5727,Sales Manager,Sales Manager
5729,Accountant,Accountant
5730,Tester/ Software Quality Assurance Engineer,Software Developer
5731,Executive Assistant,Translator
5732,ISP/ IT Director,Director
5733,Telecommunication Systems Administrator  Senior Specialist,Finance Specialist
5734,System Administrator  Leading Specialist,Raw
5735,System Administrator - General Specialist,Software Developer
5736,National Legal Expert,Lawyer
5737,Sales and Marketing Officer,Sales Manager
5738,Chief Accountant,Accountant
5739,Back Office Specialist,Raw
5741,Lawyer,Lawyer
5742,Mail Operations Department Head,Call Center Specialist
5744,Local Expert/Journalist for Human Rights Defender's Office,Translator
5745,Mail Management Support Department Head,Call Center Specialist
5749,Graphic Designer,Graphic Designer
5751,Chief Accountant,Accountant
5752,Product Marketing Manager,Brand Manager
5754,Sales Manager,Sales Manager
5756,Marketing Communications Manager,Marketing Specialist
5757,"Strategy Development Specialist, Business Planning for Gyumri",Engineer
5758,English-German Languages Translator,Project Manager/ Assistant
5759,Direct-Sales Specialist,Raw
5760,Management Information Systems (MIS) Officer,Information Officer
5765,Project Coordinator for Anti-Trafficking Programme: Capacity,Project Manager/ Assistant
5766,National Programme Officer (NPO),Raw
5767,PR & Marketing Manager,Office Manager
5768,Interconnect Coordinator,Network Engineer
5770,Data Entry Experts,Raw
5771,Secretary,Operations Manager
5775,Public Relations/Public Education Specialist (PR/PE Specialist),Raw
5777,Financial Specialist,Raw
5779,Head of Investor Relations Division,Marketing Specialist
5782,Construction Safety Engineer,Software Developer
5784,Cashier in the Computers and Digital Appliances Shop,Receptionist
5785,"Loan Specialist, Armenian Micro Lending Program (AMP)",Loan Specialist
5786,.Net Team Leader,.NET Developer
5789,Java Team Leader,Java Developer
5790,Laboratory Technician,Raw
5792,Executive Secretary to the Board of Directors,Raw
5793,Head of Translation Unit,Raw
5794,BI Operations Service Manager,Finance Specialist
5795,BI Development Specialist Web Analytics,Engineer
5797,Irrigation Infrastructure Engineer,Raw
5798,Environment and Social Impact Specialist,Social Worker
5799,Irrigation Infrastructure Civil Engineer,Raw
5800,Interpreter/ Translator,Translator
5801,Data Collection Specialist,Raw
5802,Procurement Srecialist,Finance Specialist
5803,Pump Station Design Engineer,Raw
5804,Institutional Strengthening Project Specialist,Project Manager/ Assistant
5807,IT Expert for Anti-Trafficking Project for Supporting the,Project Manager/ Assistant
5808,Expert,Raw
5809,Contracts Officer,Raw
5810,Expert,Raw
5811,Expert,Raw
5813,Legal Expert,Lawyer
5814,Executive Assistant,Assistant
5815,Short Term Temporary (STT)  Information Technology Assistant,Raw
5819,Evaluation and Documentation Officer,Raw
5820,Office Manager,Office Manager
5821,Finance Advisor,Director
5822,Business Advisor,Director
5825,English Language Lecturer in the English Department,Translator
5827,Internal Controller,Director
5828,Health Program Coordinator (HPC) / Medical Practitioner (MP),Medical Representative
5831,C++ Developer,C/ C++ Developer
5833,Monitoring and Evaluation Specialist,Raw
5835,Manager on Interaction with Internet Service Providers,Raw
5836,Disaster Risk Reduction (DRR) Consultant,Raw
5837,Chief Accountant,Accountant
5838,Advertising Manager,Manager
5839,Import Area Manager,Export/ Import Manager
5842,Computer Network Installation Specialist,Information Officer
5843,Human Resources Director,HR Specialist
5844,Chief Financial Officer (CFO),Finance Specialist
5845,Marketing Specialist,Marketing Specialist
5848,Administrative/ Procurement Manager,Operations Manager
5849,Adobe Flex Developer,C/ C++ Developer
5850,Chocolate and Flavour Products Technologist,Analyst
5857,Event Planner,Director
5858,Health Programme Coordinator,Health Manager
5861,Legal Expert,Lawyer
5866,Bank Accountant,Accountant
5868,Postal Financial Services (PFS) Product Development Division,Finance Specialist
5869,Postal Financial Services (PFS) Corporate Accounts Division Head,Finance Specialist
5871,IT Platform Manager,Raw
5872,Sales Manager,Sales Manager
5876,Postal Financial Services (PFS) Quality Control Administrative,Finance Specialist
5877,Graphic Designer and Animator/ Web Developer,Software Developer
5878,Administrative Assistant,Assistant
5879,"Postal Financial Services (PFS) Budgeting, Planning and Control",Credit Officer
5880,Postal Financial Services (PFS) Operational Support Division,Operations Manager
5883,Administrative Assistant,Translator
5885,Cashier,Raw
5886,Junior Legal Officer,Training Specialist
5891,Real Estate Asset Management Division Head,Credit Officer
5892,Budget Controller,Controller
5893,Real Estate Property Maintenance Division Head,Raw
5895,Senior Cashier,Receptionist
5906,IT Director/ System Administrator,Raw
5908,Senior Programme Assistant (G6),Programmer
5909,IN & VAS Unit Manager,Finance Specialist
5911,HR Compensation and Benefits Subdivision Head,Raw
5919,Deputy Chief Executive Officer (DCEO),Raw
5920,Sales Director,Sales Manager
5934,Procurement Manager,Raw
5942,Purchasing Manager,Raw
5944,PHP/MySQL Programmer,Manager
5945,Head of Risk Management Department,Credit Officer
5946,System Administrator,Systems Administrator
5949,Network Engineering Manager,Network Administrator
5952,Lawyer,Lawyer
5953,DOTCOM Project Armenia Manager,Raw
5954,System Administrator,Raw
5956,Finance Associate,Finance Specialist
5957,Secretary,Translator
5958,Budgeting Department Manager,Credit Officer
5960,Senior Business Consultant,Consultant
5962,Hot Line Operator,Operations Manager
5964,System Administrator,Systems Administrator
5966,Java Engineer,Manager
5969,Secretary,Raw
5972,Customer Relationship Manager,Customs Specialist
5973,Deputy Human Resources (HR) Manager,HR Specialist
5974,Marketing Division Specialist,Marketing Specialist
5975,Software Quality Assurance Specialist,Specialist
5976,Ventilation and Drainage Engineer,Software Developer
5978,Web Site Editor,Web Developer/ Designer
5981,Web Designer,Web Developer/ Designer
5982,Staffing Officer,Raw
5984,Office Administrator,Office Manager
5985,Software Architect,Raw
5987,Chief Accountant,Accountant
5991,Senior Web Developer,Software Developer
5992,Gavar ADP Manager,Software Developer
5996,Software QA Engineer,Engineer
5997,Finance Specialist,Specialist
6000,Loan Specialist,Loan Specialist
6001,Specialist-Cashier,Branch Manager
6002,IT Administrator,Finance Specialist
6003,Client Manager,Teller
6004,Senior Cashier,Receptionist
6005,Expert Goldsmith,Raw
6007,System Administrator,Software Developer
6008,Marketing Manager,Marketing Specialist
6009,Medical Representative,Medical Representative
6010,Water Utilities Finance and Economics Specialist,Finance Specialist
6015,Assistant Underwriter,Raw
6018,Secretary,Engineer
6021,Franchise Manager,Manager
6022,Accounting Coordinator,Accountant
6025,Investment Officer/ Associate Investment Officer,Software Developer
6026,Interns in Marketing/Sales Department,Raw
6029,Financier,Finance Specialist
6031,Trainer,Training Specialist
6032,Deputy Director,Director
6033,Interpreter,Engineer
6034,Deputy Coordinator: Support to Twinning and TAIEX Operations in,Raw
6035,Operations Expert: Support to Twinning and TAIEX Operations in,Raw
6036,Lawyer,Lawyer
6037,Data Quality Analyst,Data Analyst
6038,.NET Team Lead,.NET Developer
6041,Finance Manager,Finance Specialist
6043,Coordinator/Team Leader: Support to Twinning and TAIEX,Raw
6047,System Administrator,Finance Specialist
6051,Senior Software QA Engineer,Test Engineer
6052,Head of Net Development Department,.NET Developer
6053,Catering Assistant,Customs Specialist
6055,Purchasing Assistant,Assistant
6058,PHP/ MySQL Web Developers/ Programmers,PHP Developer
6061,Computer Aided Drafting (CAD) Technician,Raw
6062,Translator,Engineer
6063,Business Processes Development Specialist,Project Manager/ Assistant
6064,System/ Network Administrator,Software Developer
6069,Accountant,Accountant
6070,Sales Supervisor,Sales Manager
6075,Key Account Manager,Sales Manager
6076,Customer Service Manager,Customs Specialist
6077,Project Manager,Project Manager/ Assistant
6078,Territory Executive,Raw
6079,Topographer,Raw
6081,Marketing Manager,Marketing Specialist
6082,Credit Control Agent,Controller
6085,PR Officer,PR Specialist
6087,HILTI Subdivision Service Center Manager,Raw
6088,HILTI Subdivision Rental Center Manager,Raw
6093,Sales Representative Armenia,Sales Manager
6094,"""Hilti"" Subdivision Service Center Engineer",Raw
6095,"""Hilti"" Subdivision Salesman",Sales Manager
6096,"""Hilti"" Subdivision Sales Manager",Sales Manager
6099,Senior Silverlight/ ASP.NET/ C# Developer,Software Developer
6101,Social Worker/ Consultant,Social Worker
6104,Project Assistant,Assistant
6105,IN & VAS Unit Manager,Finance Specialist
6106,Coordinator,Engineer
6107,Executive Assistant,Assistant
6108,Software Engineer,Software Developer
6109,Finance/ Administrative Assistant,Assistant
6110,Local Experts for the Performance Assessment of the,Raw
6114,Pump Station Design Engineer,Software Developer
6115,Pharmaceutical Cluster Coordinator (USAID/CAPS Project),Software Developer
6116,Irrigation Infrastructure Engineer,Raw
6118,'Doka' Forming Materials Subdivision Chief Engineer/,Engineer
6119,'Doka' Forming Materials Subdivision Manager,Engineer
6121,Finance/ Administrative Assistant,Project Manager/ Assistant
6123,Customer Services Clerk/Teller,Customs Specialist
6124,General Manager Assistant,Office Manager
6125,Medical Representative,Medical Representative
6127,Visual Merchandiser,Graphic Designer
6128,"Field Assistant, Important Bird Areas Program",Raw
6129,Accountant,Accountant
6131,Air-Conditioning System Technician,Raw
6133,Medical Representative,Medical Representative
6134,Freight Forwarding Specialist,Transport Manager
6135,Head of Merchandising Unit,Unit Manager
6136,Accountant,Accountant
6137,Junior Test Engineer,Engineer
6138,C++ Programmer,Programmer
6140,Quality of Care Specialist,Medical Representative
6141,Preseller,Raw
6142,Educational Program Executive Director,Technical Support
6143,Software Quality Assurance Engineer,Engineer
6144,Marketing Manager,Marketing Specialist
6145,Team Leader,Team Leader
6146,Head of Credit Department,Credit Officer
6149,Chief Accountant,Accountant
6150,Quality Support Specialist,Specialist
6152,Market Specialist,Marketing Specialist
6154,"Head of Division, Statistics Department",Finance Specialist
6155,Auditor,Auditor
6156,PHP Web Developer,PHP Developer
6158,Market Developer,Brand Manager
6159,Director of the Fund for Rural Economic Development in Armenia,Director
6160,Senior Web Developer ASP.NET 2.0,Software Developer
6162,Customer Support Engineer,Customs Specialist
6164,Finance and Administration Assistant,Raw
6165,IT Applications Team Lead,Raw
6166,Finance Specialist,Raw
6168,Windows Device Drivers Senior Engineer,Engineer
6169,Accountant,Accountant
6170,Software Developer,Software Developer
6171,Chief Accountant,Accountant
6173,Call Center Agent,Call Center Specialist
6175,IT Network Administrator,Finance Specialist
6176,Pharmacist,Receptionist
6179,Category Manager,Raw
6181,Expert on Review of Educational System of Armenia Related to,Raw
6182,Interviewer,Analyst
6183,Receptionist,Receptionist
6184,Data Products Development Coordinator,Brand Manager
6187,Driver,Medical Representative
6188,Assistant to the SRSG,Assistant
6189,Head of Planning and Analysis Department,Department Head
6191,Floor Clerk,Receptionist
6192,Product Development Agent,Software Developer
6193,Electromechanical Technician,Raw
6196,Chef at the Official Residence of the U.S. Ambassador to Armenia,Health Manager
6199,Revenue Assurance Specialist,Data Analyst
6200,Chief Executive Officer (CEO),Raw
6201,Art Manager,Raw
6208,"Senior Software Engineer, User's Interface & Flows Department",Software Engineer
6209,Apprentice Web Developer,Engineer
6210,IT Engineer /Contractor/,Engineer
6212,Supply/Purchasing Manager,Office Manager
6213,ASP.NET Developer,Engineer
6214,Reporting Officer in Lending Department,Credit Officer
6215,Business Lending Officer,Credit Officer
6216,Commercial Director,Project Manager/ Assistant
6217,Program Assistant,Raw
6218,Grants Management Specialist,Project Manager/ Assistant
6220,Chief Financial Officer (CFO),Accountant
6221,Sales Representative,Sales Manager
6222,Surface Water Quality Standards Specialist,Raw
6225,Loan Officer,Loan Specialist
6226,Network Quality Specialist,Raw
6228,Senior Java Developer,Java Developer
6229,"Accountant-Methodologist, Accounting Department",Finance Specialist
6230,"Accountant-Analyst, Accounting Department",Finance Specialist
6231,Financier,Finance Specialist
6232,Human Resources Manager,HR Specialist
6233,C++/C#  Senior Software Developer,Raw
6234,Assistant to Finance and Administrative Department Manager,Assistant
6236,.NET Team Lead,.NET Developer
6237,M&E Specialist of the Fund for Rural Development in Armenia,Consultant
6238,Investment Officer of the Fund for Rural Development in Armenia,Software Developer
6243,Executive Assistant,Assistant
6244,Executive Assistant/ Translator,Assistant
6245,Medical Adviser,Medical Representative
6246,Software Engineer,Raw
6254,Supplement/Newspaper  Designer,Engineer
6255,Supplement Coordinator,Raw
6256,Gender Expert for Preparation of the UNCT Performance Indicators,Translator
6259,SCAD-V Administrative Finance Assistant,Assistant
6260,Import Documentation Specialist,Sales Manager
6261,Armenia Sales and Marketing Manager,Sales Manager
6262,Medical Representative,Medical Representative
6267,Merchandiser,Brand Manager
6268,Supply/Purchasing Manager,Office Manager
6270,Website Developer  for Ministry of Diaspora,Raw
6271,Revenue Assurance Specialist,Data Analyst
6272,Cashier,Receptionist
6274,Credit Specialist,Credit Officer
6276,Head of Commercial and Marketing Department,Marketing Specialist
6277,Driver,Raw
6278,Field Technician,Raw
6279,Field Engineer,Software Developer
6281,Coordinator of REC Caucasus Branch Office in Armenia,Raw
6283,Tourism Project Implementation Unit (PIU) Director,Social Worker
6284,Office Manager,Raw
6285,Financial Expert,Analyst
6288,Information Security Coordinator,Information Officer
6289,Website Designer,Translator
6290,Accountant,Accountant
6292,Website Developer,Raw
6293,National Expert/s to Develop Training Manual and Training Module,Raw
6294,Advertising Sales Agent,Raw
6297,Translator/Interpreter,Translator
6299,Internal Control Specialist,Controller
6302,Internal Control Specialist (with financial background),Raw
6303,"Category Manager (drugs, babies' products)",Sales Manager
6306,Technician of Systems Maintenance,Raw
6307,Electromechanical Technician,Raw
6311,Credit Department Head,Credit Officer
6317,Site Maintenance Unit Manager,Software Developer
6318,Shop-Assistant,Engineer
6321,Switching Technician,Engineer
6322,Point of Sales Developer Agent in Gavar,Sales Manager
6324,Salesman-Consultant,Raw
6325,Backhaul and Transmission Senior Engineer,Engineer
6326,"Senior Software Engineer, Yield Analysis Department",Software Engineer
6327,Customer Care Representative,Customs Specialist
6328,Web Designer,Web Developer/ Designer
6332,Transmission Engineer,Engineer
6334,Compensation Specialist,Raw
6335,Planning Engineer,Engineer
6337,Agricultural Specialist/ Team Assistant,Raw
6340,Finance Director,Director
6341,Senior Software Engineer,Software Engineer
6343,Distributor of Calling Cards,Brand Manager
6344,Editor,Medical Representative
6345,Sales Representative,Sales Manager
6348,Head of Marketing and PR Division,PR Specialist
6350,Travel Agent,Sales Agent
6352,Construction Project Supervisor,Project Manager/ Assistant
6353,Head of Development,Software Developer
6355,Call Operator,Call Center Specialist
6356,Translator,Software Developer
6358,Project Assistant,Project Manager/ Assistant
6360,Warehouse Agent,Sales Agent
6362,Network Administrator,Network Administrator
6364,Accountant,Accountant
6365,Sales Manager,Sales Manager
6366,Delivery Service Supervisor,Director
6367,Deputy Head of Construction Division,Software Developer
6368,Assistant FAO Representative (Programme),Raw
6370,Site Implementation Unit Manager,Project Manager/ Assistant
6372,Chief Compliance Officer,Raw
6373,Field Operations Manager,Software Developer
6374,Chief Lending Officer/ Head of Lending Department,Loan Specialist
6375,Sales Director,Sales Manager
6376,VPN Engineer,Software Developer
6377,Chief Financial Officer,Raw
6378,Quality Assurance Specialist,Specialist
6381,Veterinary/Animal Breeding Specialist,Raw
6382,QA Developer,Software Developer
6383,C++ Developer,Software Developer
6384,Project Coordinator,Project Manager/ Assistant
6385,Senior Programme Assistant,Programmer
6388,IT Assistant  for the UN Agencies,Raw
6391,Administrative Permits and Negotiation Engineer,Social Worker
6395,Senior Controller,Raw
6397,Senior Accountant,Accountant
6398,IT Support Engineer,Support Engineer
6400,Administrative Assistant,Assistant
6402,Financial Analyst,Analyst
6404,Budget Analyst,Credit Officer
6406,After Sales Engineer,Sales Manager
6410,Customer Relationships Manager,Customs Specialist
6412,Finance Assistant,Finance Specialist
6416,Software Engineer,Engineer
6418,Contract Administrator,Project Manager/ Assistant
6419,Financial Specialist,Finance Specialist
6420,Network Roll-out Supervisor,Project Manager/ Assistant
6421,Sites Accountant,Accountant
6427,Administrative Permits and Negotiation Specialist,Social Worker
6428,Web Hosting Service Administrator,Software Developer
6429,Energy Connection Follow-up Specialist,Engineer
6430,Technical Environment Expert,Raw
6433,Equipment Maintenance Responsible,Software Developer
6434,National Associate Programme Coordinator,Finance Specialist
6436,C++ Developer,C/ C++ Developer
6437,Sales Agent in Gavar,Sales Manager
6438,Project Manager,Project Manager/ Assistant
6440,Project Assistant.,Project Manager/ Assistant
6441,Telecom Software and Hardware Installation/ Management,Software Developer
6446,Translator,Raw
6449,IT Systems Administrator,Systems Administrator
6450,Information Security Officer,Finance Specialist
6451,Reporter,Journalist
6453,PHP Senior Software Developer,PHP Developer
6454,Senior QA Engineer,Engineer
6455,Sales Agents,Sales Manager
6459,Regional Manager,Social Worker
6460,Customer Service Representative for Vanadzor Branch,Customs Specialist
6461,Customer Service Representative for Dilijan Branch,Customs Specialist
6462,Customer Service Representative for Kapan Branch,Customs Specialist
6463,Customer Service Representative for Vedi Branch,Customs Specialist
6464,Customer Service Representative for Masis Branch,Customs Specialist
6465,Internal Control Inspector,Auditor
6467,Web Technology Project Manager,Web Developer/ Designer
6468,Nurse,Raw
6469,Billing Specialist,Credit Officer
6471,Project Coordinator,Raw
6472,Transmission Expert,Project Manager/ Assistant
6473,Sales Manager,Sales Manager
6474,Administrative Assistant,Assistant
6476,Telecom Unit Coordinator,Raw
6477,IT Manager,Manager
6479,Credit Control Specialist,Controller
6483,Transmission Expert,Raw
6487,Assistant/ Short Term Temporary (STT),Assistant
6490,System/DB Administrator,Finance Specialist
6491,System Administrator,Systems Administrator
6495,Design Engineer,Engineer
6496,Junior Telecom Engineer,Engineer
6497,.NET Senior Software Developer,.NET Developer
6499,Internal Controller,Controller
6504,Distributor of Calling Cards,Brand Manager
6507,Sales Manager,Sales Manager
6508,Sales and Marketing Director,Marketing Specialist
6509,Catering Manager,Tour Manager
6511,IT Operations Applications Team Lead,Raw
6512,BI Operations Service Manager,Finance Specialist
6516,Regulatory Affairs & Medical Manager,Medical Representative
6517,Senior Financial Analyst,Analyst
6519,"Analyst, Analysis Division, Financial Monitoring Center",Credit Officer
6520,Environment and Social Impact Specialist,Social Worker
6521,Finance Officer/ Cashier,Finance Specialist
6526,Chief Executive Officer,Raw
6530,Public Relations and Marketing Manager,Raw
6531,Marketing Specialist,Marketing Specialist
6532,QA Engineer in PHP,Engineer
6533,Financial Consulting Associate,Consultant
6535,Head of Security Department,Department Head
6536,Programmer,Programmer
6537,"""Promoting Rights of Children & Adolescents with Mental Health",Raw
6539,"""Promoting Rights of Children & Adolescents with Mental Health",Raw
6540,"""Promoting Rights of Children & Adolescents with Mental Health",Raw
6542,Advertising and Communication Specialist,Communication Specialist
6547,Housing Finance Manager,Office Manager
6550,Construction Manager,Project Manager/ Assistant
6551,Telecom Technician,Raw
6553,National Expert on Legislation Regulating Relations in Energy,Project Manager/ Assistant
6554,Medical Representative,Medical Representative
6555,Warehouse Manager,Raw
6556,Research Consultants,Consultant
6559,Supervisor of Program Activities in Stepanakert,Finance Specialist
6560,Translator,Software Developer
6561,Administrative Assistant/ Clerk,Raw
6563,Client Manager,Teller
6565,Translator,Translator
6566,IT System Administrator,Systems Administrator
6567,Web Designer/ Programmer,Web Developer/ Designer
6569,Chief Security Officer,Finance Specialist
6571,Lawyer,Lawyer
6573,Short-Term Civil Society Development Specialist,Raw
6574,PHP Developer,Web Developer/ Designer
6576,System Administrator,Systems Administrator
6577,MIS/Communication Specialist,Raw
6578,Database Administrator,Raw
6580,Apprentice Web Developer,Raw
6584,Designer,Architect
6585,Administrative Assistant,Director
6586,Installer/ Alpinist(s),Network Engineer
6588,Team Leader/ Superviser,Team Leader
6589,Administrative Assistant,Assistant
6590,Key Account Manager (KAM),Raw
6591,Public Relations Manager,PR Specialist
6592,Technical Writer,Journalist
6593,Software Developer,Software Developer
6596,Grants Manager,Project Manager/ Assistant
6598,Purchasing Specialist,Finance Specialist
6599,"Economist-Statistician, Statistics Department",PR Specialist
6602,Designer,Graphic Designer
6603,Cashier,Credit Officer
6605,Software Developer,Web Developer/ Designer
6607,Marketing Director,Marketing Specialist
6609,Store Manager/ Operations Director,Brand Manager
6610,Developer,C/ C++ Developer
6613,Software Quality Assurance Engineer,Engineer
6616,Client Manager,Teller
6617,System Programmer,Programmer
6618,Senior Protection Clerk,Information Officer
6619,Webmaster,Web Developer/ Designer
6620,Translator,Call Center Specialist
6621,Business Consultant/ Project Manager,Manager
6622,Director for Sales and Marketing,Raw
6625,Java Developer,Java Developer
6627,Driver/ Office Assistant,Assistant
6628,Expert for Natural Resources Law and Policy,Raw
6629,Programme Office Manager,Office Manager
6630,Expert for Environmental Communication and Campaigning,Social Worker
6631,Sales and Marketing Manager,Sales Manager
6632,Boutique Sales Assistant,Sales Manager
6634,Pre-sales Specialist,Software Developer
6637,Telecom Engineer,Network Engineer
6641,Driver/ Office Assistant,Assistant
6642,Programme Office Manager,Office Manager
6643,Marketing Specialist,Marketing Specialist
6644,Advisor on Municipal Development,Raw
6645,Maternal & Child Health (MCH)/ Reproductive Health (RH)/ Family,Raw
6646,Radio and Electronic Engineer,Software Developer
6647,Kapan Branch Manager,Branch Manager
6648,Director Assistant,Director
6649,Deputy Director Assistant,Director
6650,Call Center Operator,Call Center Specialist
6652,Warehouse Manager,Finance Specialist
6653,Clients Relationship Manager,Raw
6655,Teaching English as Foreign Language (TEFL) Technical,Technical Support
6656,Armenian Language and Cross-Cultural Facilitator (LCF),Raw
6657,Environmental Education Technical Coordinator for Pre-Service,Technical Support
6659,International MSME Credit Adviser/ Team Leader (Armenia),Raw
6661,Sales Agent,Raw
6663,Sales Developing Agent,Sales Manager
6664,Technical Assistant Manager,Raw
6665,Customer Service Center Agent,Customs Specialist
6669,Chief Accountant,Accountant
6670,Disability Consultant,Raw
6672,Civil Engineer,Engineer
6673,Electrical Engineer,Engineer
6682,Human Resources Director,Director
6683,System Administrator,Systems Administrator
6685,Loan Officer,Customs Specialist
6686,National Assistant Project Coordinator,Raw
6687,Medical Representative,Medical Representative
6688,Alpinist/ Mounter,Raw
6690,Program Specialist in Democracy & Governance Sector,Social Worker
6691,Architect,Architect
